     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    60: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    70: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    80: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    90: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
   100: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
Total Experiment Duration 0:00:00
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    60: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    70: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    80: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    90: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
   100: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
Total Experiment Duration 0:00:00
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    60: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    70: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    80: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    90: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
   100: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
Total Experiment Duration 0:00:00
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
